groupe,code_h,ligne,valeurs
Charge,2.9.3.2.,Vaisselle,"{'Réel Annuelle 2022': '4740 €', 'Réel Annuelle 2023': '3634 €', 'Réel Annuelle 2024': '0 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '0 €', 'Budget Annuelle 2026': '0 €'}"
Charge,2.9.5.,Achat petit équip. et fourn. / charges diverses d'exploit,"{'Réel Annuelle 2022': '6886 €', 'Réel Annuelle 2023': '32 €', 'Réel Annuelle 2024': '59 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '3369 €', 'Budget Annuelle 2026': '3417 €'}"
Charge,2.9.5.4.,Achat - charges diverses d'exploitation,"{'Réel Annuelle 2022': '188 €', 'Réel Annuelle 2023': '32 €', 'Réel Annuelle 2024': '59 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '3369 €', 'Budget Annuelle 2026': '3417 €'}"
Charge,2.9.5.7.,Divers matériel et mobilier,"{'Réel Annuelle 2022': '6698 €', 'Réel Annuelle 2023': '0 €', 'Réel Annuelle 2024': '0 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '0 €', 'Budget Annuelle 2026': '0 €'}"
Charge,2.10.,ACHAT ALIMENTAIRE PDJ,"{'Réel Annuelle 2022': '0 €', 'Réel Annuelle 2023': '0 €', 'Réel Annuelle 2024': '0 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '0 €', 'Budget Annuelle 2026': '0 €'}"
Charge,2.12.,"LOCATIONS, HONORAIRES, SACEM ET TV","{'Réel Annuelle 2022': '6319 €', 'Réel Annuelle 2023': '8613 €', 'Réel Annuelle 2024': '4647 €', 'Budget Annuelle 2025': '11866 €', 'Prévision Annuelle 2025': '13217 €', 'Budget Annuelle 2026': '15113 €'}"
Charge,2.12.2.,Location immobilière (parking),"{'Réel Annuelle 2022': '0 €', 'Réel Annuelle 2023': '0 €', 'Réel Annuelle 2024': '0 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '0 €', 'Budget Annuelle 2026': '2028 €'}"
Charge,2.12.2.1.,Location Immobilières,"{'Réel Annuelle 2022': '0 €', 'Réel Annuelle 2023': '0 €', 'Réel Annuelle 2024': '0 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '0 €', 'Budget Annuelle 2026': '2028 €'}"
Charge,2.12.3.,Honoraire contentieux Gestion,"{'Réel Annuelle 2022': '6319 €', 'Réel Annuelle 2023': '8580 €', 'Réel Annuelle 2024': '4680 €', 'Budget Annuelle 2025': '11866 €', 'Prévision Annuelle 2025': '8964 €', 'Budget Annuelle 2026': '9113 €'}"
Charge,2.12.3.1.,Honoraire - juridiques et contentieux,"{'Réel Annuelle 2022': '3272 €', 'Réel Annuelle 2023': '8455 €', 'Réel Annuelle 2024': '4662 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '5675 €', 'Budget Annuelle 2026': '5759 €'}"
